min_rpm,max_rpm,rpe,minutes,seconds
80,100,6.5,5,0
100,120,8,0,20
80,100,3,0,40
100,120,8,0,20
80,100,3,0,40
100,120,8.5,0,20
80,100,3,0,40
100,120,9,0,20
80,100,3,0,40
100,120,8.5,0,20
80,100,3,0,40
100,120,7.5,2,0
70,80,3,3,0
100,120,8,0,20
80,100,3,0,40
100,120,8,0,20
80,100,3,0,40
100,120,8.5,0,20
80,100,3,0,40
100,120,9,0,20
80,100,3,0,40
100,120,8.5,0,20
80,100,3,0,40
100,120,7.5,2,0
70,80,3,3,0
100,120,8,0,20
80,100,3,0,40
100,120,8,0,20
80,100,3,0,40
100,120,8.5,0,20
80,100,3,0,40
100,120,9,0,20
80,100,3,0,40
100,120,8.5,0,20
80,100,3,0,40
100,120,7.5,2,0
70,80,3,8,0
