min_rpm,max_rpm,rpe,minutes,seconds
70,80,6,5,0
80,90,7,1,0
80,90,8,1,0
80,90,8.5,1,0
80,90,9,1,0
80,90,9.5,1,0
90,100,8,5,0
70,80,6,5,0
100,120,10,0,20
80,100,3,0,10
100,120,10,0,20
80,100,3,0,10
100,120,10,0,20
80,100,3,0,10
100,120,10,0,20
80,100,3,0,10
100,120,10,0,20
80,100,3,0,10
100,120,10,0,20
80,100,3,0,10
100,120,10,0,20
80,100,3,0,10
100,120,10,0,20
80,100,3,0,10
100,120,10,0,20
80,100,3,0,10
100,120,10,0,20
80,100,3,0,10
100,120,10,0,20
80,100,3,0,10
100,120,6,5,0
90,100,8,2,0
60,70,6,1,0
90,100,8,2,0
60,70,6,1,0
90,100,8,2,0
60,70,6,1,0
70,80,3,5,0
